  ,scenario ,src_rmse ,src_r2 ,tgt_rmse ,tgt_r2
0 ,0_to_2   ,  0.0884 ,0.7789 ,  0.1278 ,0.6467
1 ,0_to_3   ,  0.0884 ,0.7789 ,  0.1610 ,0.5173
2 ,0_to_4   ,  0.0884 ,0.7789 ,  0.1584 ,0.6301
3 ,0_to_5   ,  0.0884 ,0.7789 ,  0.1947 ,0.3914
4 ,0_to_6   ,  0.0884 ,0.7789 ,  0.2424 ,-0.2285
5 ,0_to_7   ,  0.0884 ,0.7789 ,  0.2220 ,-0.1726
6 ,mean     ,  0.0884 ,0.7789 ,  0.1844 ,0.2974
7 ,std      ,  0.0000 ,0.0000 ,  0.0432 ,0.3968
