,scenario,tst_rmse,tst_r2
0,0_to_2_on_3,0.1610,0.5173
1,0_to_3_on_4,0.1584,0.6301
2,0_to_4_on_5,0.1947,0.3914
3,0_to_5_on_6,0.2424,-0.2285
4,0_to_6_on_7,0.2220,-0.1726
5,0_to_7_on_8,0.2376,0.1447
