,scenario,tst_rmse,tst_r2
0,0_to_2_on_3,0.1638,0.5001
1,0_to_3_on_4,0.1600,0.6230
2,0_to_4_on_5,0.1919,0.4083
3,0_to_5_on_6,0.2384,-0.1882
4,0_to_6_on_7,0.2095,-0.0442
5,0_to_7_on_8,0.2265,0.2225
