,scenario,tst_rmse,tst_r2
0,0_to_2_on_3,0.21098919212818146,-0.20182019983138355
1,0_to_3_on_4,0.2631608843803406,-0.24376066225421167
2,0_to_4_on_5,0.25826388597488403,-0.03089710853515526
3,0_to_5_on_6,0.2767598330974579,-0.16442575728369824
4,0_to_6_on_7,0.25836294889450073,-0.5950139385838709
